rank#,id,admissionTotalNumber,学校,城市,service
41,260,11,宁波赫威斯肯特学校,宁波市,国际课程学校
42,134,5,长沙市雅礼中学,长沙市,体制内高中
43,22,36,中国人民大学附属中学,北京市,体制内高中
44,97,52,重庆南开中学国际课程中心,重庆市,国际课程学校
45,1097,68,西安铁一中国际部,西安市,体制内高中
46,530,63,南京市金陵中学国际高中课程班中美班,南京市,国际课程学校
47,76,104,北京四中国际校区,北京市,国际课程学校
48,701,135,重庆育才中学,重庆市,体制内高中
49,303,7,上海美国学校,上海市,外籍国际学校
50,1189,135,华润小径湾贝赛思国际学校,惠州市,国际课程学校
51,257,9,上海协和双语学校,上海市,国际课程学校
52,321,47,合肥市第一中学国际部,合肥市,国际课程学校
53,275,23,南京师范大学附属中学IB班,南京市,国际课程学校
54,475,38,南京外国语学校IB,南京市,国际课程学校
55,505,61,成都树德中学国际部,成都市,国际课程学校
56,27,3,复旦大学附属中学,上海市,体制内高中
57,54,31,北京市第二中学国际部,北京市,国际课程学校
58,37,1,江苏省常州高级中学,常州市,体制内高中
59,95,29,上海交通大学附属中学IB,上海市,国际课程学校
60,87,11,成都七中国际部,成都市,国际课程学校
61,716,24,济南外国语学校国际部,济南市,国际课程学校
62,211,35,江苏天一中学AP中心,无锡市,国际课程学校
63,651,1,上海诺科学校,不适用,国际课程学校
64,274,9,北京市第八十中学国际部,北京市,国际课程学校
65,397,66,北京市鼎石学校,北京市,国际课程学校
66,23,6,北京师范大学第二附属中学,北京市,体制内高中
67,376,32,杭州外国语学校剑桥高中,杭州市,国际课程学校
68,378,11,江苏省苏州中学,苏州市,体制内高中
69,33,50,深圳外国语学校,深圳市,体制内高中
70,83,15,山东省青岛第二中学,青岛市,体制内高中
71,38,7,无锡大桥实验中学,无锡市,体制内高中
72,75,7,北京市第四中学,北京市,体制内高中
73,430,25,苏州德威国际高中,苏州市,国际课程学校
74,307,33,重庆巴蜀常春藤学校,重庆市,国际课程学校
75,232,20,南京外国语学校仙林分校,南京市,体制内高中
76,24,12,北京市第一零一中学,北京市,体制内高中
77,210,28,北京世青国际学校,北京市,国际课程学校
78,578,31,无锡大桥实验中学国际部,无锡市,国际课程学校
79,154,8,济南外国语学校,济南市,体制内高中
80,1369,146,广州亚加达国际预科青藤学院,广州市,国际课程学校
81,35,1,南京师范大学附属中学,南京市,体制内高中
82,508,22,人大附中朝阳分校,北京市,体制内高中
83,292,24,苏州领科国际学校,苏州市,国际课程学校
84,144,21,上海建平中学国际课程班,上海市,国际课程学校
85,382,6,石家庄外国语学校,石家庄市,体制内高中
86,1060,12,青岛中学,青岛市,体制内高中
87,99,29,上海尚德实验学校,上海市,国际课程学校
88,141,37,上海市中芯国际学校,上海市,国际课程学校
89,137,23,合肥市第八中学国际部,合肥市,国际课程学校
90,131,33,上海西南位育中学,上海市,体制内高中
91,674,6,上海宋庆龄学校,上海市,体制内高中
92,127,41,江苏省天一中学,无锡市,体制内高中
93,212,24,苏州外国语学校,苏州市,体制内高中
94,1096,3,深圳第三高级中学,深圳市,体制内高中
95,542,29,盟诺学校-青岛二中国际课程基地,青岛市,国际课程学校
96,391,18,华东康桥国际学校,昆山地级市,国际课程学校
97,118,1,郑州外国语学校,郑州市,体制内高中
98,523,11,南京市金陵中学河西分校,南京市,体制内高中
99,541,12,苏州科技城外国语学校,苏州市,体制内高中
100,271,14,北京新东方扬州外国语学校,扬州市,体制内高中
101,198,8,首都师范大学附属中学,北京市,体制内高中
102,1383,5,深圳国际预科学院,深圳市,国际课程学校
103,266,8,深圳外国语学校国际部,深圳市,国际课程学校
104,10049,61,济南新航实验外国语学校,济南市,
105,1499,7,北京市朝阳区清森学校,北京市,外籍国际学校
106,105,17,天津法拉古特国际学校,天津市,国际课程学校
107,933,1,郑州市第七中学,郑州市,体制内高中
108,676,28,青岛第五十八中学,青岛市,体制内高中
109,377,167,深圳新哲书院,深圳市,国际课程学校
110,217,5,南京市金陵中学,南京市,体制内高中
111,547,2,北京市海淀外国语实验,北京市,体制内高中
112,241,23,青岛博格思学校,青岛市,国际课程学校 
113,231,7,南京外国语学校中加国际高中,南京市,国际课程学校
114,1286,9,北京第八中学国际部,北京市,国际课程学校
115,334,18,广州南沙NCPA英东美式中学,广州市,国际课程学校
116,383,15,上海协和双语学校万源校区,上海市,国际课程学校
117,10004,1,深圳第三高级中学国际部,深圳市,
118,243,18,常州市第一中学,常州市,体制内高中
119,456,34,济宁孔子国际学校,济宁市,国际课程学校
120,731,38,上海西南位育中学国际部,上海市,国际课程学校
121,57,1,深圳南山中加国际学校,深圳市,国际课程学校
122,724,43,东北师范大学附属中学国际部,长春市,国际课程学校
123,79,8,宁波效实中学国际部,宁波市,国际课程学校
124,106,14,天津市南开中学,天津市,体制内高中
125,196,25,重庆第二外国语学校,重庆市,体制内高中
126,233,17,成都外国语学校国际部,成都市,国际课程学校
127,326,6,复旦大学附属中学国际部,上海市,外籍国际学校
128,667,27,上海外国语大学西外外国语学校,上海市,国际课程学校
129,744,16,上海市大同中学国际部,上海市,国际课程学校
130,983,2,山东省青岛第十九中,青岛市,体制内高中
131,80,16,杭州市第十四中学,杭州市,体制内高中
132,82,8,上海交通大学附属中学,上海市,体制内高中
133,161,11,北京德威英国国际学校,北京市,外籍国际学校
134,290,5,宏文学校青岛校区,青岛市,国际课程学校
135,388,2,海南中学,海口市,体制内高中
136,409,2,南京市第一中学国际部,南京市,国际课程学校
137,836,3,江苏省扬州中学国际班,扬州市,国际课程学校
138,842,14,郑州外国语学校国际部,郑州市,国际课程学校
139,978,3,山东师范大学附属中学,济南市,体制内高中
140,1433,10,义乌市群星外国语学校,金华市,体制内高中
141,20,23,上海美国学校浦西校区,上海市,外籍国际学校
142,44,36,山东省实验中学,济南市,体制内高中
143,119,4,北京大学附属中学,北京市,体制内高中
144,437,8,北京私立汇佳学校,北京市,国际课程学校
145,438,38,北京师范大学第二附属中学国际部,北京市,国际课程学校
146,465,3,北京爱迪国际学校,北京市,国际课程学校
147,677,4,青岛第五十八中学国际部,青岛市,国际课程学校
148,1080,6,人大附中杭州分校,杭州市,体制内高中
149,1438,1,合肥市第六中学,合肥市,体制内高中
150,25,18,北京市第八十中学,北京市,体制内高中
151,424,1,云南师范大学附属中学,昆明市,体制内高中
152,703,15,合肥安生学校,合肥市,国际课程学校
153,913,1,深圳市博纳国际学校,深圳市,国际课程学校
154,47,74,昆明市第一中学国际部,昆明市,国际课程学校
155,294,4,青岛墨尔文中学,青岛市,国际课程学校
156,305,1,呼和浩特市第二中学,呼和浩特市,体制内高中
157,396,16,上海协和双语学校古北校区,上海市,国际课程学校
158,719,9,上海民办华东师大二附中紫竹双语学校,上海市,国际课程学校
159,117,6,北京市第二中学,北京市,体制内高中
160,263,10,江西师范大学附属中学国际部,南昌市,体制内高中
161,335,1,成都树德中学,成都市,体制内高中
162,639,18,深圳蛇口国际学校,深圳市,国际课程学校
163,1232,1,大庆一中剑桥中心,大庆市,国际课程学校
164,1396,6,重庆德普外国语学校,重庆市,国际课程学校
165,30,12,广东实验中学,广州市,体制内高中
166,58,5,东北育才学校,沈阳市,体制内高中
167,59,32,上海美国学校浦东校区,上海市,外籍国际学校
168,526,2,香港国际学校,香港,外籍国际学校
169,550,13,首都师范大学附属中学国际部,北京市,国际课程学校
170,1007,1,山东淄博实验中学,淄博市,体制内高中
171,1259,5,北京海淀凯文学校,北京市,国际课程学校
172,10298,16,沧州市第一中学,沧州市,
173,55,21,北京京西国际学校,北京市,外籍国际学校
174,98,27,北京顺义国际学校,北京市,外籍国际学校
175,199,8,东北育才外国语学校,沈阳市,体制内高中
176,254,4,北京实验学校,北京市,体制内高中
177,281,6,北京市八一学校国际部,北京市,国际课程学校
178,286,1,ULC剑桥国际高中,广州市,国际课程学校
179,333,14,华南师范大学附属中学,广州市,体制内高中
180,354,19,上海惠灵顿国际学校,上海市,外籍国际学校
181,557,7,清华大学附属中学国际部,北京市,国际课程学校
182,616,15,上外附中东校,上海市,体制内高中
183,912,10,天津市新华中学,天津市,体制内高中
184,1472,7,东华三院李嘉诚中学,香港,外籍国际学校
185,183,11,上海市市西中学,上海市,体制内高中
186,239,10,江苏省扬州中学,扬州市,体制内高中
187,253,1,合肥市第八中学,合肥市,体制内高中
188,421,16,香港汉基国际学校,香港,外籍国际学校
189,726,16,南京外国语学校Alevel中心,南京市,外籍国际学校
190,814,5,杭州市第十四中学国际部,杭州市,国际课程学校
191,853,4,江苏省南菁高级中学国际部,南京市,国际课程学校
192,1040,1,山东济钢高级中学,济南市,体制内高中
193,1485,1,北京外国语大学附属外国语学校,北京市,体制内高中
194,10180,10,香港启历学校,不适用,
195,10589,9,北京君诚国际双语学校,北京市,
196,158,3,武汉外国语学校,武汉市,体制内高中
197,169,3,长沙市雅礼中学国际部,长沙市,国际课程学校
198,189,1,深圳实验学校,深圳市,体制内高中
199,575,10,深圳科爱赛国际学校,深圳市,国际课程学校
200,675,28,山东省青岛第九中学,青岛市,体制内高中
201,682,6,天津英华国际学校,天津市,国际课程学校
202,892,1,成都七中林荫校区,成都市,体制内高中
203,1014,1,山东省东营市第一中学,东营市,体制内高中
204,1266,8,上海融育学校,上海市,国际课程学校
205,1287,5,山东省青岛第六十七中学,青岛市,体制内高中
206,1480,6,郑州市第七中学国际部,郑州市,国际课程学校
207,10148,19,沈阳飞跃实验中学国际部	,沈阳市,
208,10153,12,深圳荟同学校,深圳市,
209,10201,22,北京达罗捷派学校,北京市,
210,10227,6,上海科桥国际学校	,上海市,
211,10242,6,上海天华英澳美学校	,上海市,
212,130,3,成都外国语学校,成都市,体制内高中
213,138,2,北京市第八中学,北京市,体制内高中
214,170,6,长沙市长郡中学国际部,长沙市,国际课程学校
215,171,4,兰州第一中学,兰州市,体制内高中
216,242,7,常州外国语附属双语中学,常州市,体制内高中
217,336,6,厦门第一中学,厦门市,体制内高中
218,410,5,宁波外国语学校国际部,宁波市,国际课程学校
219,462,4,北京新东方国际双语学校,北京市,国际课程学校
220,504,7,广州大学附属中学国际部,广州市,国际课程学校
221,510,4,华东师范大学第二附属中学国际部,上海市,国际课程学校
222,638,1,上海外国语大学附属浦东外国语学校,上海市,体制内高中
223,662,1,福建省厦门双十中学,厦门市,体制内高中
224,700,6,光华启迪·个人学校,上海市,国际课程学校
225,734,25,上海市民办金苹果学校国际部,上海市,国际课程学校
226,961,11,上海诺美学校,上海市,国际课程学校
227,1028,1,临沂一中,临沂市,体制内高中
228,1154,7,人大附中西山学校,北京市,体制内高中
229,1214,6,广州市执信中学,广州市,体制内高中
230,1309,1,山东省济南市德润高级中学,济南市,体制内高中
231,1372,1,厦门第六中学,厦门市,体制内高中
232,1494,7,贵阳市第一中学,贵阳市,体制内高中
233,1501,1,天津市第一中学,天津市,体制内高中
234,10134,5,美中国际爱智学校,成都市,
235,10212,6,黄山文峰学校,黄山市,
236,41,3,宁波效实中学,宁波市,体制内高中
237,70,8,上海中学,上海市,体制内高中
238,120,9,合肥市第一中学,合肥市,体制内高中
239,190,2,无锡市第一中学国际部,无锡市,国际课程学校
240,193,11,重庆南开中学,重庆市,体制内高中
241,229,2,哈尔滨第三中学,哈尔滨市,体制内高中
242,285,374,深圳大学师范学院国际高中,深圳市,国际课程学校
243,293,3,大连市第二十四中学,大连市,体制内高中
244,406,2,镇海中学剑桥国际中心,宁波市,国际课程学校
245,454,5,重庆第二外国语学校国际部,重庆市,国际课程学校
246,605,1,武汉三牛中美中学,武汉市,国际课程学校
247,622,1,深圳厚德书院,深圳市,体制内高中
248,687,4,珠海一中附属实验学校,珠海市,体制内高中
249,768,3,上海长宁国际学校,上海市,国际课程学校
250,769,2,上海市洋泾中学,上海市,体制内高中
251,786,2,青岛第一国际学校,青岛市,国际课程学校
