rank#,id,admissionTotalNumber,school,学校,国家,isPublic
422,10762,1,Hillfield Strathallan College,希尔菲尔德学院,美国,0
423,10764,1,Immaculate High School,伊麦克莱特高中,美国,0
424,10773,9,New York Special High School,New York Special High School,美国,0
425,10774,1,Pickering College,匹克林学院,加拿大,0
426,10779,3,Burgen County Academy,布尔根县学院,美国,0
427,10783,4,International School of Prague,布拉格国际学校,其他,1
428,10785,4,Issaquah High School ,伊萨夸高中,美国,1
429,10786,2,Bridgewater-Raritan High School,桥水-拉里坦高中,美国,1
430,10787,1,Mesa Grande Academy,梅沙葛兰岱学校,美国,0
431,10793,2,Oundle School,奥多中学,英国,1
432,10794,6,Markville Secondary School,马克维尔高级中学,加拿大,1
433,10800,1,Baradene College of the Sacred Heart,巴拉德尼圣心学院,其他,1
434,10802,1,Charlotte Catholic High School,夏洛特天主教高中,美国,1
435,10807,4,Unionsville High School,Unionsville High School,美国,0
436,10814,1,"Curtis Senior High School, WA",Curtis Senior High School,美国,0
437,10821,2,Oxbridge Academy,津桥学校 ,美国,0
438,10833,1,Chinese International School Manila,马尼拉中华国际学校,其他,0
439,10838,1,George Walton High School,乔治亚沃顿高中,美国,1
440,10854,5,Texas Academy of Mathematics and Science,Texas Academy of Mathematics and Science,美国,1
441,10855,1,Ramona Convent Secondary School,拉蒙娜女校,美国,0
442,10870,3,North Toronto Collegiate Institute,多伦多学院,加拿大,1
443,10871,2,Bishop stranchan school,斯特罗恩中学,加拿大,0
444,10873,1,The Prestige School,普莱斯蒂学校,法国,0
445,10874,3,River Hill High School,River Hill High School,美国,0
446,10875,4,St. Stephen's School,圣史帝芬学校（意大利罗马）,其他,0
