rank#,admissionTotalNumber,University,University,isPiublic,website
84,26,维思大学,Wesleyan University,0,http://www.megoal.org/Wesleyan-University
85,4,巴纳德学院,Barnard College,0,http://www.megoal.org/Barnard-College
86,47,科尔盖特大学,Colgate University,0,http://www.megoal.org/Colgate-University
87,41,里士满大学,University of Richmond,0,http://www.megoal.org/University-of-Richmond
88,23,瓦萨学院,Vassar College,0,http://www.megoal.org/Vassar-College
89,12,贝茨学院,Bates College,0,http://www.megoal.org/Bates-College
90,15,科罗拉多学院,Colorado College,0,
91,5,玛卡莱斯特学院,Macalester College,0,http://www.megoal.org/Macalester-College
92,11,哈维穆德学院,Harvey Mudd College,0,http://www.megoal.org/Harvey-Mudd-College
93,31,曼荷莲学院,Mount Holyoke College,0,http://www.megoal.org/Mount-Holyoke-College
94,38,凯尼恩学院,Kenyon College,0,
95,28,布林茅尔学院,Bryn Mawr College,0,https://www.brynmawr.edu/
96,3,斯克利普斯学院,Scripps College,0,
97,40,伦斯勒理工学院,Rensselaer Polytechnic Institute,0,http://www.megoal.org/Rensselaer-Polytechnic-Institute
98,13,迈阿密大学,University of Miami,0,http://www.megoal.org/University-of-Miami
99,37,圣塔克拉拉大学,Santa Clara University,0,
100,64,匹兹堡大学,University of Pittsburgh,0,
101,85,雪城大学,Syracuse University,0,http://www.megoal.org/Syracuse-University
102,39,华盛顿大学,University of Washington,0,
103,14,马里兰大学,University of Maryland,0,
104,19,乔治·华盛顿大学,The George Washington University,0,http://www.megoal.org/George-Washington-University
105,53,罗格斯大学,Rutgers University,0,
106,69,康涅狄格大学,University of Connecticut,0,
107,65,宾州州立大学帕克分校,"Pennsylvania State University, University Park",0,
108,12,伍斯特理工学院,Worcester Polytechnic Institute,0,https://www.wpi.edu/
109,63,福特汉姆大学,Fordham University,0,http://www.megoal.org/Fordham-University
110,49,马塞诸塞大学安姆斯特分校,"University of Massachusetts, Amherst",0,
111,48,印第安纳大学伯明顿分校,Indiana University Bloomington,0,
112,1,南卫理公会大学,Southern Methodist University,0,
113,62,明尼苏达大学双城分校,"University of Minnesota, Twin Cities",0,
114,2,德克萨斯农工大学,Texas A&M University,0,https://www.tamu.edu/
